totNmprCnt,stdgCd,trans
139417,1111000000,11110
121312,1114000000,11140
213151,1117000000,11170
277361,1120000000,11200
335554,1121500000,11215
341149,1123000000,11230
382155,1126000000,11260
425602,1129000000,11290
288113,1130500000,11305
306948,1132000000,11320
498213,1135000000,11350
466770,1138000000,11380
306231,1141000000,11410
363697,1144000000,11440
436028,1147000000,11470
563058,1150000000,11500
392405,1153000000,11530
227481,1154500000,11545
374794,1156000000,11560
378769,1159000000,11590
481956,1162000000,11620
407664,1165000000,11650
544873,1168000000,11680
654166,1171000000,11710
459167,1174000000,11740
38619,2611000000,26110
104089,2614000000,26140
87792,2617000000,26170
106548,2620000000,26200
359508,2623000000,26230
270815,2626000000,26260
254185,2629000000,26290
273596,2632000000,26320
380448,2635000000,26350
297831,2638000000,26380
215590,2641000000,26410
142396,2644000000,26440
205766,2647000000,26470
174518,2650000000,26500
202932,2653000000,26530
178729,2671000000,26710
89064,2711000000,27110
342813,2714000000,27140
164088,2717000000,27170
139187,2720000000,27200
419624,2723000000,27230
407331,2726000000,27260
527781,2729000000,27290
262084,2771000000,27710
22988,2772000000,27720
158958,2811000000,28110
59482,2814000000,28140
405995,2817700000,28177
392416,2818500000,28185
492415,2820000000,28200
494138,2823700000,28237
280266,2824500000,28245
624358,2826000000,28260
69005,2871000000,28710
20377,2872000000,28720
107176,2911000000,29110
283991,2914000000,29140
209646,2915500000,29155
421683,2917000000,29170
396741,2920000000,29200
217628,3011000000,30110
223256,3014000000,30140
464634,3017000000,30170
366845,3020000000,30200
169853,3023000000,30230
208668,3111000000,31110
307232,3114000000,31140
152287,3117000000,31170
216477,3120000000,31200
218997,3171000000,31710
1197257,4111000000,41110
270849,4111100000,41111
366167,4111300000,41113
197213,4111500000,41115
363028,4111700000,41117
919747,4113000000,41130
235942,4113100000,41131
210848,4113300000,41133
472957,4113500000,41135
464213,4115000000,41150
544660,4117000000,41170
230666,4117100000,41171
313994,4117300000,41173
1559936,4119000000,41190
280197,4121000000,41210
591022,4122000000,41220
88626,4125000000,41250
629308,4127000000,41270
334867,4127100000,41271
294441,4127300000,41273
1074907,4128000000,41280
496438,4128100000,41281
291597,4128500000,41285
286872,4128700000,41287
81000,4129000000,41290
187093,4131000000,41310
732265,4136000000,41360
229656,4137000000,41370
519715,4139000000,41390
261229,4141000000,41410
158870,4143000000,41430
329861,4145000000,41450
1075566,4146000000,41460
261488,4146100000,41461
436656,4146300000,41463
377422,4146500000,41465
497753,4148000000,41480
222098,4150000000,41500
189034,4155000000,41550
486172,4157000000,41570
944342,4159000000,41590
391377,4161000000,41610
268026,4163000000,41630
143323,4165000000,41650
114412,4167000000,41670
41584,4180000000,41800
62302,4182000000,41820
125238,4183000000,41830
852189,4311000000,43110
200575,4311100000,43111
186302,4311200000,43112
274594,4311300000,43113
190718,4311400000,43114
207778,4313000000,43130
130194,4315000000,43150
31010,4372000000,43720
48891,4373000000,43730
44195,4374000000,43740
37484,4374500000,43745
86254,4375000000,43750
36590,4376000000,43760
91183,4377000000,43770
27701,4380000000,43800
655959,4413000000,44130
256691,4413100000,44131
399268,4413300000,44133
102104,4415000000,44150
95772,4418000000,44180
345796,4420000000,44200
176011,4421000000,44210
110423,4423000000,44230
46667,4425000000,44250
170302,4427000000,44270
50093,4471000000,44710
61046,4476000000,44760
49116,4477000000,44770
30168,4479000000,44790
97524,4480000000,44800
78354,4481000000,44810
60784,4482500000,44825
214156,4611000000,46110
271696,4613000000,46130
278137,4615000000,46150
117377,4617000000,46170
152666,4623000000,46230
45373,4671000000,46710
26905,4672000000,46720
24314,4673000000,46730
61113,4677000000,46770
37686,4678000000,46780
61254,4679000000,46790
35046,4680000000,46800
32722,4681000000,46810
64575,4682000000,46820
52350,4683000000,46830
90296,4684000000,46840
30601,4686000000,46860
51750,4687000000,46870
42543,4688000000,46880
46641,4689000000,46890
28979,4690000000,46900
38037,4691000000,46910
493033,4711000000,47110
226278,4711100000,47111
266755,4711300000,47113
247489,4713000000,47130
137515,4715000000,47150
152935,4717000000,47170
405506,4719000000,47190
100199,4721000000,47210
100212,4723000000,47230
93858,4725000000,47250
68755,4728000000,47280
266205,4729000000,47290
50086,4773000000,47730
24019,4775000000,47750
15661,4776000000,47760
34055,4777000000,47770
41316,4782000000,47820
30139,4783000000,47830
42086,4784000000,47840
110581,4785000000,47850
55325,4790000000,47900
29603,4792000000,47920
46669,4793000000,47930
9077,4794000000,47940
1009038,4812000000,48120
213342,4812100000,48121
245259,4812300000,48123
179394,4812500000,48125
179818,4812700000,48127
191225,4812900000,48129
341074,4817000000,48170
120551,4822000000,48220
109030,4824000000,48240
533659,4825000000,48250
102084,4827000000,48270
234038,4831000000,48310
355122,4833000000,48330
25475,4872000000,48720
60203,4873000000,48730
57083,4874000000,48740
49468,4882000000,48820
40780,4884000000,48840
41606,4885000000,48850
33752,4886000000,48860
36945,4887000000,48870
60047,4888000000,48880
41203,4889000000,48890
491654,5011000000,50110
183598,5013000000,50130
286426,5111000000,51110
361503,5113000000,51130
209439,5115000000,51150
88625,5117000000,51170
38702,5119000000,51190
82054,5121000000,51210
62651,5123000000,51230
67309,5172000000,51720
46359,5173000000,51730
37332,5175000000,51750
40659,5176000000,51760
34202,5177000000,51770
41448,5178000000,51780
23007,5179000000,51790
21056,5180000000,51800
32020,5181000000,51810
27305,5182000000,51820
27710,5183000000,51830
